ID	Tratamiento	T_Ing (min)	No_Pau
0326 LhSAC5B0H1	B0	0.463033	7
0326 LhSAC5B0H2	B0	0.906133	32
0326 LhSAC5B0H3	B0	1.53435	13
0326 LhSAC5B0H4	B0	0.7697	8
0326 LhSAC5B0H5	B0	0.72685	24
0326 LhSAC5B1H1	B1	0.543583	6
0326 LhSAC5B1H2	B1	0.042917	2
0326 LhSAC5B1H3	B1	0.0619	1
0326 LhSAC5B1H4	B1	0.0619	1
0326 LhSAC5B1H5	B1	0.962167	5
0326 LhSAC5B2H1	B2	1.5603	4
0326 LhSAC5B2H2	B2	0.168567	4
0326 LhSAC5B2H3	B2	0.003117	1
0326 LhSAC5B2H4	B2	1.99215	8
0326 LhSAC5B2H5	B2	1.132583	3
0326 LhSAC5B4H1	B4	1.9042	6
0326 LhSAC5B4H2	B4	0.682933	18
0326 LhSAC5B4H3	B4	1.83385	7
0326 LhSAC5B4H4	B4	0.017183	2
0326 LhSAC5B4H5	B4	0.543333	9
0326 LhSAC5B8H1	B8	0.0065	1
0326 LhSAC5B8H2	B8	0.18785	4
0326 LhSAC5B8H3	B8	1.621067	14
0326 LhSAC5B8H4	B8	0.47685	7
0326 LhSAC5B8H5	B8	0.932417	13
0327 LhB0H1	B0	0.1241	10
0327 LhB0H10	B0	0.3907	17
0327 LhB0H2	B0	0.564733	10
0327 LhB0H3	B0	0.400667	4
0327 LhB0H4	B0	1.21835	17
0327 LhB0H5	B0	1.393617	2
0327 LhB0H6	B0	0.379567	4
0327 LhB0H7	B0	1.106067	14
0327 LhB0H8	B0	0.732433	3
0327 LhB0H9	B0	0.916267	3
0327 LhB1H1	B1	1.683533	9
0327 LhB1H10	B1	1.278083	8
0327 LhB1H2	B1	0.03145	1
0327 LhB1H3	B1	0.001833	1
0327 LhB1H4	B1	0.847667	3
0327 LhB1H5	B1	0.032767	1
0327 LhB1H6	B1	1.153633	20
0327 LhB1H7	B1	1.84175	8
0327 LhB1H8	B1	0.032817	1
0327 LhB1H9	B1	0.002083	1
0327 LhB2H1	B2	0.111267	7
0327 LhB2H10	B2	0.309967	10
0327 LhB2H2	B2	0.230983	5
0327 LhB2H3	B2	0.004933	1
0327 LhB2H4	B2	1.3246	7
0327 LhB2H5	B2	0.00695	1
0327 LhB2H6	B2	0.734683	28
0327 LhB2H7	B2	0.410083	11
0327 LhB2H8	B2	1.062817	22
0327 LhB2H9	B2	0.242967	8
0327 LhB4H1	B4	0.003133	1
0327 LhB4H10	B4	0.087633	6
0327 LhB4H2	B4	0.065667	3
0327 LhB4H3	B4	0.38035	4
0327 LhB4H4	B4	0.0931	4
0327 LhB4H5	B4	1.3715	4
0327 LhB4H6	B4	0.171433	3
0327 LhB4H7	B4	1.25725	1
0327 LhB4H8	B4	0.6167	11
0327 LhB4H9	B4	0.011167	6
0327 LhB8H1	B8	0.71555	6
0327 LhB8H10	B8	0.002083	1
0327 LhB8H2	B8	0.000783	1
0327 LhB8H3	B8	0.00675	1
0327 LhB8H4	B8	0.188867	3
0327 LhB8H5	B8	0.12795	8
0327 LhB8H6	B8	0.00155	1
0327 LhB8H7	B8	0.008333	1
0327 LhB8H8	B8	0.02005	2
0327 LhB8H9	B8	1.266617	14
0328 LhB0H1	B0	0.33045	1
0328 LhB0H10	B0	0.1841	4
0328 LhB0H2	B0	0.20825	5
0328 LhB0H3	B0	0.6331	4
0328 LhB0H4	B0	0.008067	1
0328 LhB0H5	B0	0.45475	3
0328 LhB0H6	B0	2.428367	51
0328 LhB0H7	B0	0.725433	15
0328 LhB0H8	B0	1.39075	19
0328 LhB0H9	B0	0.169267	1
0328 LhB1H1	B1	0.948217	18
0328 LhB1H10	B1	1.312967	18
0328 LhB1H2	B1	1.07455	14
0328 LhB1H3	B1	0.452917	13
0328 LhB1H4	B1	1.70095	6
0328 LhB1H5	B1	1.598483	20
0328 LhB1H6	B1	0.441483	9
0328 LhB1H7	B1	0.8723	2
0328 LhB1H8	B1	2.67045	24
0328 LhB1H9	B1	1.658067	16
0328 LhB2H1	B2	0.948183	20
0328 LhB2H10	B2	0.643217	15
0328 LhB2H2	B2	1.14555	28
0328 LhB2H3	B2	1.8871	22
0328 LhB2H4	B2	0.599817	9
0328 LhB2H5	B2	0.004433	1
0328 LhB2H6	B2	0.186667	2
0328 LhB2H7	B2	1.073267	15
0328 LhB2H8	B2	1.013233	9
0328 LhB2H9	B2	0.306017	4
0328 LhB4H1	B4	0.099067	1
0328 LhB4H10	B4	0.001567	1
0328 LhB4H2	B4	1.203283	1
0328 LhB4H3	B4	0.016633	2
0328 LhB4H4	B4	1.126033	18
0328 LhB4H5	B4	2.165283	5
0328 LhB4H6	B4	0.24335	8
0328 LhB4H7	B4	0.8536	9
0328 LhB4H8	B4	0.650283	7
0328 LhB4H9	B4	1.21215	21
0328 LhB8H1	B8	0.11415	5
0328 LhB8H10	B8	0.426167	3
0328 LhB8H2	B8	0.01585	1
0328 LhB8H3	B8	0.017933	2
0328 LhB8H4	B8	0.007017	1
0328 LhB8H5	B8	0.39675	9
0328 LhB8H6	B8	2.0332	2
0328 LhB8H7	B8	0.068633	2
0328 LhB8H8	B8	0.121633	10
0328 LhB8H9	B8	0.016117	1
0329 LhB0H1	B0	0.2652	9
0329 LhB0H2	B0	2.140117	15
0329 LhB0H3	B0	0.010933	1
0329 LhB0H4	B0	0.737083	12
0329 LhB0H5	B0	1.265383	11
0329 LhB1H1	B1	1.672583	2
0329 LhB1H2	B1	0.641433	7
0329 LhB1H3	B1	1.13595	3
0329 LhB1H4	B1	0.587083	7
0329 LhB1H5	B1	0.001817	1
0329 LhB2H1	B2	0.00105	1
0329 LhB2H2	B2	0.306583	11
0329 LhB2H3	B2	0.511133	43
0329 LhB2H4	B2	0.0676	9
0329 LhB2H5	B2	0.0759	3
0329 LhB4H1	B4	1.855367	2
0329 LhB4H2	B4	1.923483	2
0329 LhB4H3	B4	0.3146	17
0329 LhB4H4	B4	0.5153	13
0329 LhB4H5	B4	1.073533	15
0329 LhB8H1	B8	0.002083	1
0329 LhB8H2	B8	0.00415	1
0329 LhB8H3	B8	0.015867	1
0329 LhB8H4	B8	0.1357	2
0329 LhB8H5	B8	0.0039	1

